id,userID,fName,lName,educationalInstitution,areaOfStudy,email
1,Pro001,Mark,Beitel,SIAST,CST,m.b@test.com
2,Pro002,Tim,Jim,SIAST,CST,timmer.jimmer@timjim.com
3,Pro010,Scottie,Konecny,SIAST,CST,S.Konecny015@SIAST.com
4,Pro011,Mila,Lindholm,SIAST,CST,M.Lindholm016@SIAST.com
5,Pro012,Bonny,Ethridge,UofS,MED,B.Ethridge017@uofs.ca
6,Pro013,Paul,Spada,UofS,MED,P.Spada018@uofs.ca
7,Pro014,Lizzie,Landeros,UofS,MED,L.Landeros019@uofs.ca
8,Pro015,Eryn,Jeanbaptiste,UofS,MED,E.Jeanbaptiste020@uofs.ca
9,Pro016,Tanisha,Puff,UofS,MED,T.Puff021@uofs.ca
10,Pro017,Lawanda,Garrels,UofS,MED,L.Garrels022@uofs.ca
11,Pro018,Deanna,Elvin,UofS,MED,D.Elvin023@uofs.ca
12,Pro019,Tod,Alpaugh,UofS,MED,T.Alpaugh024@uofs.ca
13,Pro020,Raelene,Toepfer,UofS,MED,R.Toepfer025@uofs.ca
14,Pro021,Williams,Nowell,UofS,MED,W.Nowell026@uofs.ca
15,Pro022,Leatha,Clow,UofS,MED,L.Clow027@uofs.ca
